model	split	source_file	metric_path	value	source_directory
cut3r	easy	rcpe_metrics.json	temporal_drift.mean_drift_rot_deg	4.713870588886007	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	temporal_drift.mean_drift_trans_m	0.21108794793133678	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	temporal_drift.n_chains	330	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier1_hardware_agnostic.params_m	463.439	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier1_hardware_agnostic.flops_g		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier1_hardware_agnostic.macs_g		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier1_hardware_agnostic.memory_traffic_gb	5.5613	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier1_hardware_agnostic.arithmetic_intensity		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier2_roofline		/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.latency_p50_ms	458.847	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
cut3r	easy	rcpe_metrics.json	efficiency.tier3_measured.latency_p95_ms	643.648	/data/narendhiran_rpx/docker-smoke/rcpe-production-cut3r-9e21df3/cut3r/easy
